test_id,model,datasetSize,threads,queryName,queryType,elapsedTime,numEntities
746021bd-b4d0-425e-badf-6f2d25abd0b9,dtgraph,small,32,EnvironmentAggregate,edgesDirection,272,100
746021bd-b4d0-425e-badf-6f2d25abd0b9,dtgraph,small,32,MaintenanceOwners,edgesDirection,199,100
746021bd-b4d0-425e-badf-6f2d25abd0b9,dtgraph,small,32,EnvironmentOutlier,edgesDirection,601,8
746021bd-b4d0-425e-badf-6f2d25abd0b9,dtgraph,small,32,AgentOutlier,edgesDirection,342,100
746021bd-b4d0-425e-badf-6f2d25abd0b9,dtgraph,small,32,AgentHistory,edgesDirection,11,1
33785937-7175-4d3b-961e-7b011d3b0bc9,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
33785937-7175-4d3b-961e-7b011d3b0bc9,dtgraph,small,32,EnvironmentAggregate,edgesDirection,268,100
33785937-7175-4d3b-961e-7b011d3b0bc9,dtgraph,small,32,MaintenanceOwners,edgesDirection,207,100
33785937-7175-4d3b-961e-7b011d3b0bc9,dtgraph,small,32,EnvironmentOutlier,edgesDirection,599,8
33785937-7175-4d3b-961e-7b011d3b0bc9,dtgraph,small,32,AgentOutlier,edgesDirection,361,100
33785937-7175-4d3b-961e-7b011d3b0bc9,dtgraph,small,32,AgentHistory,edgesDirection,9,1
1bf82a0a-93d5-483a-a5d6-f3e1227d995d,dtgraph,small,32,EnvironmentCoverage,edgesDirection,0,10
1bf82a0a-93d5-483a-a5d6-f3e1227d995d,dtgraph,small,32,EnvironmentAggregate,edgesDirection,274,100
1bf82a0a-93d5-483a-a5d6-f3e1227d995d,dtgraph,small,32,MaintenanceOwners,edgesDirection,207,100
1bf82a0a-93d5-483a-a5d6-f3e1227d995d,dtgraph,small,32,EnvironmentOutlier,edgesDirection,581,8
1bf82a0a-93d5-483a-a5d6-f3e1227d995d,dtgraph,small,32,AgentOutlier,edgesDirection,339,100
1bf82a0a-93d5-483a-a5d6-f3e1227d995d,dtgraph,small,32,AgentHistory,edgesDirection,10,1
3bff7c64-db0b-4897-a172-5d4fae886e90,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
3bff7c64-db0b-4897-a172-5d4fae886e90,dtgraph,small,32,EnvironmentAggregate,edgesDirection,273,100
3bff7c64-db0b-4897-a172-5d4fae886e90,dtgraph,small,32,MaintenanceOwners,edgesDirection,199,100
3bff7c64-db0b-4897-a172-5d4fae886e90,dtgraph,small,32,EnvironmentOutlier,edgesDirection,608,8
3bff7c64-db0b-4897-a172-5d4fae886e90,dtgraph,small,32,AgentOutlier,edgesDirection,341,100
3bff7c64-db0b-4897-a172-5d4fae886e90,dtgraph,small,32,AgentHistory,edgesDirection,12,1
efc10f5f-1b30-4a85-bddc-e4afc6943471,dtgraph,small,32,EnvironmentCoverage,edgesDirection,0,10
efc10f5f-1b30-4a85-bddc-e4afc6943471,dtgraph,small,32,EnvironmentAggregate,edgesDirection,274,100
efc10f5f-1b30-4a85-bddc-e4afc6943471,dtgraph,small,32,MaintenanceOwners,edgesDirection,197,100
efc10f5f-1b30-4a85-bddc-e4afc6943471,dtgraph,small,32,EnvironmentOutlier,edgesDirection,571,8
efc10f5f-1b30-4a85-bddc-e4afc6943471,dtgraph,small,32,AgentOutlier,edgesDirection,341,100
efc10f5f-1b30-4a85-bddc-e4afc6943471,dtgraph,small,32,AgentHistory,edgesDirection,10,1
d7cee405-b39c-464c-818a-eb06d5e22d25,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
d7cee405-b39c-464c-818a-eb06d5e22d25,dtgraph,small,32,EnvironmentAggregate,edgesDirection,270,100
d7cee405-b39c-464c-818a-eb06d5e22d25,dtgraph,small,32,MaintenanceOwners,edgesDirection,197,100
d7cee405-b39c-464c-818a-eb06d5e22d25,dtgraph,small,32,EnvironmentOutlier,edgesDirection,588,8
d7cee405-b39c-464c-818a-eb06d5e22d25,dtgraph,small,32,AgentOutlier,edgesDirection,349,100
d7cee405-b39c-464c-818a-eb06d5e22d25,dtgraph,small,32,AgentHistory,edgesDirection,13,1
b8a3c68d-98b9-4bb7-9f2c-f2ec4b40d57f,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
b8a3c68d-98b9-4bb7-9f2c-f2ec4b40d57f,dtgraph,small,32,EnvironmentAggregate,edgesDirection,278,100
b8a3c68d-98b9-4bb7-9f2c-f2ec4b40d57f,dtgraph,small,32,MaintenanceOwners,edgesDirection,210,100
b8a3c68d-98b9-4bb7-9f2c-f2ec4b40d57f,dtgraph,small,32,EnvironmentOutlier,edgesDirection,606,8
b8a3c68d-98b9-4bb7-9f2c-f2ec4b40d57f,dtgraph,small,32,AgentOutlier,edgesDirection,344,100
b8a3c68d-98b9-4bb7-9f2c-f2ec4b40d57f,dtgraph,small,32,AgentHistory,edgesDirection,13,1
673c8381-0fec-4f6c-85ba-b2b414d251c7,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
673c8381-0fec-4f6c-85ba-b2b414d251c7,dtgraph,small,32,EnvironmentAggregate,edgesDirection,274,100
673c8381-0fec-4f6c-85ba-b2b414d251c7,dtgraph,small,32,MaintenanceOwners,edgesDirection,195,100
673c8381-0fec-4f6c-85ba-b2b414d251c7,dtgraph,small,32,EnvironmentOutlier,edgesDirection,572,8
673c8381-0fec-4f6c-85ba-b2b414d251c7,dtgraph,small,32,AgentOutlier,edgesDirection,340,100
673c8381-0fec-4f6c-85ba-b2b414d251c7,dtgraph,small,32,AgentHistory,edgesDirection,10,1
5fcdebe5-dd59-4829-90c0-f6bf4b5eff9f,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
5fcdebe5-dd59-4829-90c0-f6bf4b5eff9f,dtgraph,small,32,EnvironmentAggregate,edgesDirection,278,100
5fcdebe5-dd59-4829-90c0-f6bf4b5eff9f,dtgraph,small,32,MaintenanceOwners,edgesDirection,198,100
